Hour,Visits
0,10
1,20
2,10
3,0
4,0
5,30
6,10
7,10
8,10
9,0
10,10
11,0
12,0
13,20
14,40
15,0
16,0
17,10
18,10
19,0
20,0
21,30
22,20
23,30
24,30
25,10
26,30
27,0
28,40
29,20
30,40
31,10
32,20
33,50
34,30
35,20
36,20
37,10
38,20
39,20
40,30
41,0
42,10
43,20
44,20
45,0
46,10
47,40
48,20
49,10
50,30
51,30
52,50
53,50
54,30
55,30
56,30
57,40
58,10
59,50
60,0
61,10
62,80
63,70
64,20
65,30
66,20
67,10
68,20
69,0
70,10
71,30
72,10
73,10
74,40
75,10
76,30
77,70
78,50
79,40
80,60
81,40
82,100
83,0
84,20
85,10
86,10
87,30
88,10
89,10
90,40
91,20
92,10
93,0
94,50
95,30
96,10
97,10
98,20
99,0
100,40
101,30
102,30
103,50
104,30
105,70
106,50
107,30
108,20
109,20
110,20
111,50
112,10
113,20
114,0
115,10
116,30
117,0
118,0
119,40
120,40
121,10
122,30
123,20
124,40
